Anyo,codigo_distrito,codigo_barrio,parados
2018,19,192,14003.0
2018,20,201,20676.0
2018,20,202,8320.0
2018,20,203,8881.0
2018,20,204,19103.0
2018,20,205,15124.0
2018,20,206,8075.0
2018,20,207,19390.0
2018,20,208,5611.0
2018,21,211,7014.0
2018,21,212,1281.0
2018,21,213,4922.0
2018,21,214,5931.0
2018,21,215,2348.0
2019,1,11,14379.0
2019,1,12,31979.0
2019,1,13,6079.0
2019,1,14,9393.0
2019,1,15,18250.0
2019,1,16,4275.0
2019,2,21,11107.0
2019,2,22,17656.0
2019,2,23,11249.0
2019,2,24,7586.0
2019,2,25,13188.0
2019,2,26,14154.0
2019,2,27,737.0
2019,3,31,14613.0
2019,3,32,8436.0
2019,3,33,7557.0
2019,3,34,8784.0
2019,3,35,1930.0
2019,3,36,4325.0
2019,4,41,4093.0
2019,4,42,10696.0
2019,4,43,8991.0
2019,4,44,16843.0
2019,4,45,7405.0
2019,4,46,4208.0
2019,5,51,3920.0
2019,5,52,16047.0
2019,5,53,8306.0
2019,5,54,9933.0
2019,5,55,6749.0
2019,5,56,6408.0
2019,6,61,16348.0
2019,6,62,15035.0
2019,6,63,8658.0
2019,6,64,18892.0
2019,6,65,17478.0
2019,6,66,14884.0
2019,7,71,9110.0
2019,7,72,9655.0
2019,7,73,10197.0
2019,7,74,5782.0
2019,7,75,9640.0
2019,7,76,6038.0
2019,8,81,1654.0
2019,8,82,792.0
2019,8,83,20385.0
2019,8,84,22946.0
2019,8,85,10787.0
2019,8,86,30763.0
2019,8,87,9961.0
2019,8,88,4627.0
2019,9,91,6588.0
2019,9,92,9126.0
2019,9,93,4957.0
2019,9,94,15137.0
2019,9,95,1438.0
2019,9,96,631.0
2019,9,97,7508.0
2019,10,101,15303.0
2019,10,102,29968.0
2019,10,103,23791.0
2019,10,104,36454.0
2019,10,105,10189.0
2019,10,106,3638.0
2019,10,107,28752.0
2019,11,111,15819.0
2019,11,112,21899.0
2019,11,113,34610.0
2019,11,114,31095.0
2019,11,115,28073.0
2019,11,116,28869.0
2019,11,117,22701.0
2019,12,121,17720.0
2019,12,122,14117.0
2019,12,123,19600.0
2019,12,124,16101.0
2019,12,125,17833.0
2019,12,126,10788.0
2019,12,127,12831.0
2019,13,131,35033.0
2019,13,132,37883.0
2019,13,133,31771.0
2019,13,134,34335.0
2019,13,135,25194.0
2019,13,136,40880.0
2019,14,141,6303.0
2019,14,142,4234.0
2019,14,143,14669.0
2019,14,144,11330.0
2019,14,145,11747.0
