Anyo,codigo_distrito,codigo_barrio,autonomos
2017,18,182,659
2017,19,191,1266
2017,19,192,0
2017,20,201,1595
2017,20,202,157
2017,20,203,217
2017,20,204,588
2017,20,205,1128
2017,20,206,619
2017,20,207,1187
2017,20,208,456
2017,21,211,739
2017,21,212,76
2017,21,213,331
2017,21,214,411
2017,21,215,384
2018,1,11,1599
2018,1,12,2507
2018,1,13,1105
2018,1,14,1801
2018,1,15,2417
2018,1,16,1285
2018,2,21,807
2018,2,22,1387
2018,2,23,649
2018,2,24,488
2018,2,25,852
2018,2,26,1222
2018,2,27,41
2018,3,31,1174
2018,3,32,501
2018,3,33,786
2018,3,34,1268
2018,3,35,438
2018,3,36,616
2018,4,41,2063
2018,4,42,1768
2018,4,43,945
2018,4,44,1488
2018,4,45,1320
2018,4,46,1712
2018,5,51,1487
2018,5,52,1528
2018,5,53,1118
2018,5,54,2005
2018,5,55,1476
2018,5,56,590
2018,6,61,875
2018,6,62,2260
2018,6,63,1477
2018,6,64,686
2018,6,65,806
2018,6,66,816
2018,7,71,1195
2018,7,72,1211
2018,7,73,1670
2018,7,74,1849
2018,7,75,1504
2018,7,76,777
2018,8,81,75
2018,8,82,94
2018,8,83,1383
2018,8,84,1158
2018,8,85,1057
2018,8,86,1655
2018,8,87,967
2018,8,88,335
2018,9,91,475
2018,9,92,1530
2018,9,93,606
2018,9,94,803
2018,9,95,259
2018,9,96,346
2018,9,97,1164
2018,10,101,536
2018,10,102,1409
2018,10,103,944
2018,10,104,1861
2018,10,105,500
2018,10,106,100
2018,10,107,1369
2018,11,111,729
2018,11,112,944
2018,11,113,1086
2018,11,114,1562
2018,11,115,861
2018,11,116,1128
2018,11,117,632
2018,12,121,412
2018,12,122,219
2018,12,123,396
2018,12,124,545
2018,12,125,794
2018,12,126,362
2018,12,127,719
2018,13,131,694
2018,13,132,1296
2018,13,133,811
2018,13,134,894
2018,13,135,842
2018,13,136,1186
2018,14,141,155
2018,14,142,119
2018,14,143,844
2018,14,144,683
2018,14,145,393
2018,14,146,410
2018,15,151,1636
2018,15,152,2243
2018,15,153,1118
2018,15,154,1076
2018,15,155,630
2018,15,156,496
2018,15,157,297
2018,15,158,95
2018,15,159,521
2018,16,161,203
2018,16,162,632
2018,16,163,1315
2018,16,164,1677
2018,16,165,420
2018,16,166,1314
2018,17,171,1537
2018,17,172,337
2018,17,173,227
2018,17,174,797
2018,17,175,837
2018,18,181,1316
2018,18,182,484
2018,19,191,1002
2018,19,192,338
2018,20,201,1169
2018,20,202,116
2018,20,203,147
